TARGET_ID	INDIVIDUALS	STRATA
14872	14872	scott
14874	14874	scott
14890	14890	scott
14902	14902	scott
14972	14972	rowley
14974	14974	rowley
14976	14976	scott
14978	14978	rowley
14980	14980	rowley
14982	14982	rowley
14984	14984	rowley
14988	14988	scott
14992	14992	rowley
14998	14998	rowley
15000	15000	rowley
15004	15004	rowley
15006	15006	rowley
15008	15008	rowley
15010	15010	rowley
15012	15012	rowley
15014	15014	scott
15016	15016	scott
27983	27983	ningaloo
27984	27984	ningaloo
27998	27998	ningaloo
28001	28001	ningaloo
28017	28017	ningaloo
28018	28018	ningaloo
28021	28021	ningaloo
28022	28022	ningaloo
28033	28033	ningaloo
28044	28044	ningaloo
28045	28045	ningaloo
28056	28056	ningaloo
28058	28058	ningaloo
28060	28060	ningaloo
334464	334464	chagos
334472	334472	chagos
334475	334475	chagos
334496	334496	chagos
345296	345296	chagos
345310	345310	chagos
345314	345314	chagos
345317	345317	chagos
345399	345399	chagos
345799	345799	chagos
345809	345809	chagos
A001	A001	entrecasteaux
A002	A002	entrecasteaux
A003	A003	entrecasteaux
A004	A004	entrecasteaux
A005	A005	entrecasteaux
A006	A006	entrecasteaux
A007	A007	entrecasteaux
A008	A008	entrecasteaux
A009	A009	entrecasteaux
A010	A010	entrecasteaux
A011	A011	entrecasteaux
A012	A012	entrecasteaux
A013	A013	entrecasteaux
A014	A014	entrecasteaux
A016	A016	entrecasteaux
A017	A017	entrecasteaux
A018	A018	entrecasteaux
A019	A019	entrecasteaux
A021	A021	entrecasteaux
A022	A022	entrecasteaux
A023	A023	entrecasteaux
A024	A024	entrecasteaux
A025	A025	entrecasteaux
A026	A026	entrecasteaux
A027	A027	entrecasteaux
A028	A028	entrecasteaux
A029	A029	entrecasteaux
A030	A030	entrecasteaux
A031	A031	entrecasteaux
A032	A032	entrecasteaux
A033	A033	entrecasteaux
A034	A034	entrecasteaux
A035	A035	entrecasteaux
A036	A036	entrecasteaux
A037	A037	entrecasteaux
A038	A038	entrecasteaux
A039	A039	entrecasteaux
A040	A040	entrecasteaux
A041	A041	entrecasteaux
A042	A042	entrecasteaux
A043	A043	entrecasteaux
A044	A044	gln
A045	A045	gln
A047	A047	gln
A048	A048	gln
A049	A049	gln
